[2025-08-13 19:00:45] [INFO    ] discord.client: logging in using static token
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1405309210023039108', 'username': 'Canvas Announcer', 'avatar': None, 'discriminator': '4215', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-13 19:00:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1405309210023039108', 'name': 'Canvas Announcer', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1405309210023039108', 'username': 'Canvas Announcer', 'avatar': None, 'discriminator': '4215', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'ac14d88036a6e36762d3228dcd64a36a0551aae8979400a2a009d98384cd9e3f', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '397268151206936586', 'username': 'woocosm', 'avatar': '1e1b1a5aea7b0799fa73652a019174d4', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 257, 'global_name': 'Pikλblu', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000101', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-rlbm",{"micros":0.0}]']}}
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Canvas Announcer', 'primary_guild': None, 'mfa_enabled': False, 'id': '1405309210023039108', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4215', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '1906f051841acc49f20440c1a5171ca0', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '721795894881681419'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1405309210023039108', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-rlbm",{"micros":204407,"calls":["id_created",{"micros":383,"calls":[]},"session_lookup_time",{"micros":229,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-20",{"micros":202414,"calls":["start_session",{"micros":192129,"calls":["discord-api-rpc-6fc5d65b49-kbfmz",{"micros":126484,"calls":["get_user",{"micros":18522},"get_guilds",{"micros":14279},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":178},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":9108},"apex_experiments",{"micros":37746},"user_activities",{"micros":11},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":3254,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6916,"calls":[]},"connect_finished",{"micros":6920,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-13 19:00:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-13 19:00:46] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1906f051841acc49f20440c1a5171ca0).
[2025-08-13 19:00:46] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-13 19:00:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'members': [{'user': {'username': 'Canvas Announcer', 'public_flags': 0, 'primary_guild': None, 'id': '1405309210023039108', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4215', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1405309971985334294'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-13T22:00:06.788311+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'voice_states': [], 'nsfw_level': 0, 'safety_alerts_channel_id': None, 'splash': None, 'profile': None, 'max_members': 25000000, 'hub_type': None, 'incidents_data': None, 'nsfw': False, 'banner': None, 'region': 'deprecated', 'verification_level': 0, 'explicit_content_filter': 0, 'max_stage_video_channel_users': 50, 'afk_timeout': 300, 'id': '721795894881681419', 'embedded_activities': [], 'afk_channel_id': None, 'inventory_settings': None, 'emojis': [], 'name': 'test server', 'unavailable': False, 'premium_features': None, 'threads': [], 'premium_subscription_count': 0, 'application_id': None, 'icon': 'f710eb593a1378e2b2c0b650156ad829', 'vanity_url_code': None, 'owner_configured_content_level': 0, 'moderator_reporting': None, 'description': None, 'stickers': [], 'channels': [{'version': 1689576842030, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Main', 'id': '721795894881681420', 'flags': 0}, {'version': 1695005626089, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'copy-paste-list', 'last_pin_timestamp': '2023-09-18T02:53:46+00:00', 'last_message_id': '1405231247394869370', 'id': '721796011999363103', 'icon_emoji': {'name': '📋', 'id': None}, 'flags': 0}, {'version': 1689576842083, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1079146392985022514', 'name': 'coordinates', 'last_message_id': '1345442301551448085', 'id': '721796131063070833', 'icon_emoji': {'name': '🗺️', 'id': None}, 'flags': 0}, {'version': 1736622139368, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'links', 'last_pin_timestamp': '2025-01-11T19:02:19+00:00', 'last_message_id': '1405223432316256386', 'id': '727672786323243049', 'icon_emoji': {'name': '🔗', 'id': None}, 'flags': 0}, {'version': 1747698181898, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'pictures', 'last_message_id': '1404482142272229507', 'id': '732286534598000640', 'icon_emoji': {'name': '📷', 'id': None}, 'flags': 0}, {'version': 1747698181936, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'random', 'last_pin_timestamp': '2024-01-24T03:29:03+00:00', 'last_message_id': '1404493376908296242', 'id': '778108706251735080', 'icon_emoji': {'name': '🎲', 'id': None}, 'flags': 0}, {'version': 1747698181883, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'music', 'last_message_id': '1389083698539925526', 'id': '887192494318714901', 'icon_emoji': {'name': '🎵', 'id': None}, 'flags': 0}, {'version': 1747698181982, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'reminders', 'last_message_id': '1357937964214390864', 'id': '938932844867256430', 'icon_emoji': {'name': '⏰', 'id': None}, 'flags': 0}, {'version': 1689576841998, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1079146392985022514', 'name': 'stardew', 'last_pin_timestamp': '2023-02-25T21:10:55+00:00', 'last_message_id': '1341880106074767371', 'id': '1079146327021191279', 'icon_emoji': {'name': '🌾', 'id': None}, 'flags': 0}, {'version': 1689576842049, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'games', 'id': '1079146392985022514', 'flags': 0}, {'version': 1747698182044, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'homework', 'last_pin_timestamp': '2023-06-14T21:41:18+00:00', 'last_message_id': '1316322953830338580', 'id': '1118633700846997596', 'icon_emoji': {'name': '📚', 'id': None}, 'flags': 0}, {'version': 1701398886275, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'temp', 'id': '1179977195255509072', 'flags': 0}, {'version': 1747698182172, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'name': 'pc-flip', 'last_pin_timestamp': '2024-02-12T20:20:08+00:00', 'last_message_id': '1218759599692320830', 'id': '1202146129764945930', 'icon_emoji': {'name': '♾️', 'id': None}, 'flags': 0}, {'version': 1747698182190, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 13, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'name': 'game-dev', 'last_message_id': '1359348468983926944', 'id': '1206858407206985728', 'icon_emoji': {'name': '🎮', 'id': None}, 'flags': 0}, {'version': 1747698182208, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 14, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'name': 'testing', 'last_message_id': '1245630830005719082', 'id': '1229327881146990652', 'flags': 0}, {'version': 1747698182091, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'improvement', 'last_message_id': '1231052625303044106', 'id': '1231052498408837164', 'flags': 0}, {'version': 1747698182234, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 15, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'name': 'tetrio', 'last_message_id': '1346668290616987689', 'id': '1243071202604617798', 'flags': 0}, {'version': 1747698182135, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'projects', 'last_message_id': '1380068574994894869', 'id': '1317031139277541396', 'flags': 0}, {'version': 1747698182267, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 16, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'name': 'worship', 'last_message_id': '1344131173093343286', 'id': '1344131106395652169', 'flags': 0}, {'version': 1747698181872, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '721795894881681420', 'name': 'files', 'last_message_id': '1389745262229979137', 'id': '1374170483020271697', 'flags': 0}, {'version': 1755122421978, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 17, 'permission_overwrites': [], 'parent_id': '1179977195255509072', 'nsfw': False, 'name': 'canvas-announcer', 'last_message_id': '1405369441478512754', 'id': '1405310035961315358', 'flags': 0}], 'home_header': None, 'system_channel_flags': 0, 'joined_at': '2025-08-13T22:00:06.788311+00:00', 'lazy': True, 'max_video_channel_users': 25, 'latest_onboarding_question_id': None, 'activity_instances': [], 'rules_channel_id': None, 'guild_scheduled_events': [], 'public_updates_channel_id': None, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '721795894881681419', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755135307455, 'unicode_emoji': None, 'tags': {'bot_id': '1405309210023039108'}, 'position': 1, 'permissions': '26624', 'name': 'Canvas Announcer', 'mentionable': False, 'managed': True, 'id': '1405309971985334294', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'soundboard_sounds': [], 'system_channel_id': None, 'presences': [], 'premium_tier': 0, 'large': False, 'preferred_locale': 'en-US', 'member_count': 2, 'premium_progress_bar_enabled': False, 'stage_instances': [], 'version': 1740536226066, 'mfa_level': 0, 'features': ['CHANNEL_ICON_EMOJIS_GENERATED'], 'discovery_splash': None, 'application_command_counts': {}, 'default_message_notifications': 0, 'owner_id': '397268151206936586'}}
[2025-08-13 19:00:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
